Date,Order,Num-Forecast,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Topic-wise_Values_ASEAN,tsf_lr_neg_ASEAN,tsf_lr_neu_ASEAN,tsf_lr_pos_ASEAN,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology,neg_fuel,pos_fuel,neu_fuel,Topic_probability_fuel,Topic-wise_Values_fuel,tsf_lr_neg_fuel,tsf_lr_neu_fuel,tsf_lr_pos_fuel,neg_stock,pos_stock,neu_stock,Topic_probability_stock,Topic-wise_Values_stock,tsf_lr_neg_stock,tsf_lr_neu_stock,tsf_lr_pos_stock,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market,neg_Equipment,pos_Equipment,neu_Equipment,Topic_probability_Equipment,Topic-wise_Values_Equipment,tsf_lr_neg_Equipment,tsf_lr_neu_Equipment,tsf_lr_pos_Equipment
2018-04,589.0154684,583.28,0.25961417,0.58011645,0.012000131,0.563984454,0.19544178,0.000504044,0.000137936,0.947606418,0.177029965,0.64829144,0.021677989,0.753699989,0.195205392,0.00016476,4.55E-05,0.990867611,0.25335965,0.71051178,0.011231549,0.625875622,0.163732996,0.000402587,0.000121474,0.99902462,0.14944063,0.6803195,0.019107735,0.601870239,0.096173435,0.000132416,0.000148778,0.997644716,0.04401282,0.4105078,0.01896665,0.649712563,0.140770135,8.22E-05,0.002219344,0.061407535,0.24753948,0.74428767,0.008172947,0.497763604,0.236371774,0.000323852,0.000118552,0.999557595
2018-05,629.2358511,622.86,0.21367781,0.419367835,0.015526235,0.617133141,0.193124752,0.000409294,0.000186621,0.182130557,0.12166572,0.7662574,0.018861452,0.672654033,0.185802566,3.88E-05,5.16E-05,0.999750551,0.23248643,0.4792951,0.012546924,0.645813465,0.212642692,0.000367861,5.50E-05,0.675946025,0.10333705,0.258055455,0.032796031,0.632486344,0.133566138,0.000333856,0.000429362,0.000822289,0.17320487,0.6806546,0.014799322,0.677433252,0.126945878,0.000164505,0.0001105,0.996912354,0.19807678,0.12779745,0.67412573,0.67531842,0.192814004,0.004563639,0.994954247,0.000482114
2018-06,608.5117502,601.85,0.15655187,0.7824814,0.011096682,0.68901509,0.197465059,2.90E-05,5.10E-05,0.999843544,0.18609983,0.751085675,0.011554015,0.721354902,0.161332913,0.000138156,5.89E-05,0.999452324,0.14146,0.16750082,0.013331723,0.623244345,0.26310882,2.75E-05,2.29E-05,2.68E-05,0.1144489,0.631172125,0.032254079,0.50907296,0.149714491,4.60E-05,0.000160445,0.975090239,0.32415903,0.66684216,0.008998836,0.688644409,0.050664888,0.004316616,0.000441502,0.995241883,,,,,,,,
2018-07,572.9104906,567.52,0.080733545,0.493264795,0.014657792,0.63297996,0.246874341,3.50E-05,0.000153104,0.473388338,0.13054506,0.79934111,0.01481488,0.864326209,0.173792943,3.54E-05,3.86E-05,0.999856645,0.089979965,0.76349,0.027188162,0.77876848,0.292765536,1.48E-05,1.75E-05,0.998989987,0.33867258,0.19299747,0.013716458,0.615159154,0.134464529,0.0054172,8.09E-05,6.84E-05,0.62047575,0.34609455,0.008699608,0.686592817,0.079867696,0.976418389,0.000441336,0.010775005,,,,,,,,
2018-08,586.5510618,579.05,0.103932475,0.70118795,0.018148449,0.680719048,0.248372607,6.64E-05,3.42E-05,0.998405349,0.16695724,0.70867705,0.01172582,0.76690042,0.13336566,0.000379667,9.73E-05,0.998632869,0.10570205,0.42065987,0.100572984,0.606827915,0.219702136,3.56E-05,0.001055148,0.218204875,0.22958343,0.4636043,0.013017381,0.707855344,0.098077894,0.000310843,0.000315485,0.305734552,0.07954987,0.8809158,0.039534323,0.722643673,0.19367325,2.92E-06,1.64E-05,0.999980663,0.123467974,0.862464,0.01406806,0.633350611,0.275842276,6.86E-06,1.85E-05,0.999974597
2018-09,620.4658036,612.18,0.16094705,0.48203936,0.019769434,0.622547269,0.181149169,0.000257978,0.000425743,0.384275477,0.084467115,0.474637635,0.035440716,0.730002731,0.165568042,0.000632724,0.000425162,0.508986394,0.3442619,0.53956,0.020829955,0.640044928,0.201782661,0.046087752,9.21E-05,0.943632633,0.09778379,0.77081615,0.011456284,0.633811891,0.147825381,2.37E-05,7.27E-05,0.999798902,0.318097575,0.67369195,0.0085717,0.785780609,0.112315567,0.005727293,6.63E-05,0.993816516,,,,,,,,
2018-10,690.7198753,682.03,0.11810467,0.6232322,0.01581075,0.68487376,0.236416356,4.16E-05,5.06E-05,0.982766417,0.28822121,0.4380912,0.01225611,0.781058729,0.141700819,0.010748356,0.000124048,0.215777211,0.05317718,0.6741851,0.022086231,0.619723022,0.286049135,2.45E-05,4.83E-05,0.996914684,0.062074344,0.15693427,0.062950631,0.792575986,0.140052026,0.00010896,0.004466907,0.003890383,0.102700782,0.86867253,0.021695008,0.836476922,0.147756448,5.90E-06,1.59E-05,0.99997825,,,,,,,,
2018-11,665.0212089,654.41,0.12166737,0.75627928,0.014171623,0.589865447,0.214372797,4.64E-05,4.99E-05,0.999600238,0.19683887,0.72530764,0.009945004,0.598021418,0.178380798,0.000269971,5.73E-05,0.999195078,0.08254374,0.82441294,0.014600308,0.65072149,0.245643553,2.47E-05,3.08E-05,0.999944533,0.15623364,0.7331621,0.023502231,0.764389396,0.066719064,0.000234359,0.000140126,0.999492662,0.070597178,0.7118574,0.012900534,0.803468496,0.225373219,2.84E-05,0.000451908,0.992943762,,,,,,,,
2018-12,555.6764161,546.35,0.127134635,0.6805756,0.02060499,0.770723045,0.233231959,8.10E-05,0.000195817,0.997050161,0.075304285,0.76642895,0.01793462,0.684754879,0.175507805,3.93E-05,4.72E-05,0.99956829,0.148779045,0.81935738,0.022575178,0.674949408,0.209934803,2.99E-05,3.38E-05,0.999936286,0.09283041,0.7227088,0.025794636,0.636185408,0.146997506,2.34E-05,0.000156032,0.999219596,0.055390188,0.690927335,0.015283587,0.741312534,0.13780701,4.64E-05,0.000291162,0.997291008,,,,,,,,
2019-01,577.933195,571.21,0.10283719,0.67386432,0.020045593,0.582741261,0.218887472,3.35E-05,5.22E-05,0.99642875,0.12551975,0.7643492,0.015689528,0.700946927,0.183553693,3.85E-05,4.05E-05,0.999723809,0.11732416,0.6956297,0.015209836,0.653706014,0.199158486,4.42E-05,0.000353153,0.99891625,0.18935801,0.6187173,0.014095657,0.698338985,0.107526433,0.000187907,0.000210192,0.981162363,0.162170225,0.555057875,0.018853583,0.756572753,0.126527406,0.000426527,0.0002067,0.838967251,0.12497171,0.86183876,0.013189707,0.326037556,0.249007061,7.30E-06,1.78E-05,0.999974895
