Date,Order,neg_EV,pos_EV,neu_EV,Topic_probability_EV,Topic-wise_Values_EV,tsf_neg_EV,tsf_neu_EV,tsf_pos_EV,neg_Technology,pos_Technology,neu_Technology,Topic_probability_Technology,Topic-wise_Values_Technology,tsf_neg_Technology,tsf_neu_Technology,tsf_pos_Technology,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Topic-wise_Values_ASEAN,tsf_neg_ASEAN,tsf_neu_ASEAN,tsf_pos_ASEAN,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_neg_market,tsf_neu_market,tsf_pos_market,neg_semicon,pos_semicon,neu_semicon,Topic_probability_semicon,Topic-wise_Values_semicon,tsf_neg_semicon,tsf_neu_semicon,tsf_pos_semicon
1/2/2019 0:00,504.0252238,0.00128697,0.555565162,0.443147841,0.727160847,0.370684913,0.000142051,0.499754708,0.50010324,0.000695623,0.96770698,0.023701643,0.745877522,0.419647923,8.82E-05,2.32E-05,0.999862328,0.002828243,0.51631879,0.018884157,0.530719807,0.393971877,0.000170537,6.53E-05,0.631274188,0.003037577,0.56508668,0.010437595,0.361948527,0.434653816,0.000144944,3.99E-05,0.500162619,0.000397864,0.99555107,0.004051095,0.394024006,0.417401342,7.14E-05,1.13E-05,0.999917255
1/3/2019 0:00,619.0566381,0.32596654,0.053296793,0.62073666,0.896125823,0.039944022,0.058662358,0.938366819,0.002970823,0.001346569,0.90644544,0.04327997,0.682284279,0.409745482,8.83E-05,4.99E-05,0.999700292,0.001989144,0.8408605,0.028279152,0.554412079,0.387478585,8.79E-05,8.19E-05,0.99927168,0.003054202,0.450078286,0.541162013,0.569133402,0.327118642,6.79E-05,0.500049156,0.499794306,0.000819949,0.6495366,0.078937545,0.445951898,0.373356273,0.000128997,0.000327224,0.974513657
1/4/2019 0:00,589.2098267,0.001686528,0.8310359,0.006419628,0.504509324,0.472662306,0.000445478,4.41E-05,0.99908438,0.001127259,0.9560482,0.018822523,0.670735993,0.431577435,8.94E-05,2.91E-05,0.999847001,0.000901538,0.987532885,0.011114591,0.548924178,0.407903092,7.95E-05,1.49E-05,0.999900111,0.021429528,0.518216515,0.460353989,0.76348072,0.382998077,9.11E-05,0.499913643,0.499995269,0.020096613,0.385564347,0.20091257,0.5498033,0.365630787,0.001075376,0.002225451,0.497766213
1/5/2019 0:00,567.4572794,0.01238012,0.38408055,0.60353938,0.659230606,0.319075374,0.000584913,0.500746694,0.498668393,0.001789006,0.65122195,0.083395628,0.564300879,0.401188361,0.000116535,0.000236802,0.9619488,0.001784054,0.5912577,0.03997113,0.536482302,0.376611315,0.000108134,9.00E-05,0.908245967,0.000452356,0.9959655,0.003584117,0.500983175,0.395482908,7.21E-05,1.30E-05,0.999915816,0.000789077,0.059099946,0.9361155,0.405561126,0.403044022,6.60E-05,0.999837661,7.84E-05
1/6/2019 0:00,518.9057302,0.000526028,0.980481025,0.019025968,0.479747417,0.470827502,7.95E-05,1.72E-05,0.999889407,0.000834274,0.96769337,0.011563145,0.588286396,0.425676966,8.86E-05,2.40E-05,0.99986284,0.00067001,0.9878185,0.010571698,0.517592406,0.399049844,7.75E-05,1.45E-05,0.999907903,0.011928105,0.19072215,0.6332978,0.595163163,0.061008092,0.002841658,0.950363559,0.030685114,0.001843672,0.6639847,0.05257725,0.462278346,0.38633854,0.000117694,0.000105645,0.980164079
1/7/2019 0:00,568.7577495,0.000570337,0.990826,0.008069802,0.666001807,0.465630371,8.23E-05,1.23E-05,0.99990509,0.000927723,0.9577938,0.019757427,0.502606416,0.419171713,9.80E-05,2.57E-05,0.999859909,0.001210445,0.17241421,0.120230265,0.608160756,0.388262726,8.19E-05,0.000616662,0.0010674,0.001404812,0.93744946,0.04067159,0.646888418,0.340213009,0.000106691,4.16E-05,0.999812558,0.002363296,0.94834363,0.04929318,0.499910216,0.389781718,8.51E-05,3.11E-05,0.999847066
1/8/2019 0:00,517.4997877,0.002216783,0.93252748,0.065008305,0.541133162,0.374815514,0.000152127,4.53E-05,0.999802566,0.002103714,0.3823898,0.5619765,0.502179017,0.404383729,9.73E-05,0.840133548,0.132731952,0.001297679,0.083508335,0.22409952,0.544724929,0.397726032,7.57E-05,0.004723555,0.000231982,0.171168288,0.060526046,0.236548097,0.519703997,0.328864612,0.02913322,0.154948298,0.001678842,0.01158472,0.2627199,0.030217664,0.549634222,0.38679546,0.000219397,9.33E-05,0.011448442
1/9/2019 0:00,566.8298767,0.000766421,0.9627496,0.035133798,0.665883715,0.478728953,7.93E-05,2.32E-05,0.999874743,0.001649753,0.51065661,0.054575167,0.590724676,0.413627527,0.000183851,6.18E-05,0.617478778,0.001894478,0.18100095,0.130957395,0.570417786,0.395332779,8.19E-05,0.000259132,0.012269748,0.436576602,0.507370702,0.056052746,0.401712303,0.343980015,0.499569572,0.000252677,0.500177751,0.001418197,0.89034724,0.08421926,0.422249581,0.375976393,7.16E-05,0.000113927,0.999665281
1/10/2019 0:00,630.52266,0.000765842,0.9868782,0.011260734,0.474272132,0.463383615,8.74E-05,1.37E-05,0.999899095,0.000772671,0.9747334,0.015997662,0.566931466,0.42493753,8.42E-05,1.94E-05,0.999875078,0.002933982,0.21216727,0.184143785,0.574363015,0.349227478,0.000138692,0.003377109,0.035486722,0.000949531,0.89653255,0.009440223,0.4468364,0.419673917,7.45E-05,3.70E-05,0.999267256,0.001355713,0.134289525,0.32418134,0.450831045,0.376572341,0.000101232,0.049948791,0.000886969
1/11/2019 0:00,521.4572965,0.000502515,0.99309145,0.006406132,0.421417699,0.47868292,8.08E-05,1.15E-05,0.999907735,0.001006219,0.9846872,0.011938655,0.54749627,0.422739737,8.51E-05,1.51E-05,0.999900013,0.001055711,0.8703128,0.033060929,0.578536575,0.395040212,8.62E-05,5.52E-05,0.999512422,0.000429249,0.99354948,0.006021293,0.435805759,0.367943394,7.38E-05,1.32E-05,0.999912928,0.000749766,0.8704473,0.11707145,0.494145963,0.377472259,7.07E-05,0.000146792,0.999584147
1/12/2019 0:00,508.5262445,0.009508165,0.48157617,0.1014351,0.474741216,0.385296791,0.000100495,0.000140433,0.812408204,0.00085874,0.9803822,0.018687136,0.639884045,0.433142319,8.20E-05,1.67E-05,0.999883212,0.002980372,0.39971736,0.07307412,0.609159343,0.387658938,8.02E-05,8.09E-05,0.411145973,0.000649266,0.99015963,0.009299954,0.496214312,0.409459265,7.08E-05,1.51E-05,0.999908348,0.000390016,0.99640323,0.003186854,0.499423209,0.42935261,6.96E-05,1.07E-05,0.999919979
1/1/2020 0:00,546.9969523,0.000708103,0.99187994,0.007413619,0.693624233,0.497589535,8.22E-05,1.08E-05,0.999907502,0.001903326,0.963138,0.01649778,0.594310915,0.425206999,0.000109714,2.55E-05,0.999856728,0.001122097,0.957016405,0.024480819,0.519993818,0.392573494,8.42E-05,2.77E-05,0.999860067,0.001348167,0.93045276,0.02625413,0.546903581,0.424437578,7.33E-05,5.64E-05,0.999814963,0.000456098,0.9909756,0.008568251,0.560926061,0.430124097,7.13E-05,1.12E-05,0.999917497
1/2/2020 0:00,430.1121784,0.002877622,0.7883602,0.208762144,0.615577135,0.289974245,0.002379577,0.036273141,0.961347283,0.000689559,0.98818195,0.009495687,0.592210266,0.433320921,8.76E-05,1.44E-05,0.999899519,0.001341539,0.98332777,0.0113896,0.532864495,0.397843996,8.06E-05,1.69E-05,0.999894122,0.001257494,0.8081055,0.01309483,0.439926481,0.41523981,7.32E-05,7.31E-05,0.998687996,0.000447522,0.994550495,0.005002029,0.587185977,0.409223639,6.77E-05,1.10E-05,0.999921301
1/3/2020 0:00,475.6312679,0.000540772,0.994388775,0.005038337,0.629803484,0.484335539,7.95E-05,1.08E-05,0.999910233,0.002929067,0.83961236,0.023947185,0.597263807,0.423970434,0.000189517,6.09E-05,0.999162266,0.001828084,0.54977713,0.17918993,0.627024725,0.37540053,8.44E-05,0.001595215,0.769238505,0.000832192,0.98464555,0.006674402,0.674231244,0.432487799,7.27E-05,1.72E-05,0.99991019,0.00170258,0.687315365,0.020276296,0.408118281,0.405764954,9.27E-05,6.33E-05,0.773835107
1/4/2020 0:00,616.3756139,0.00047461,0.9936606,0.005864938,0.741960357,0.516037308,8.11E-05,1.07E-05,0.999908119,0.000671762,0.992837075,0.005727969,0.545940141,0.434285124,7.95E-05,1.29E-05,0.999900125,0.001917471,0.43207519,0.0936677,0.592181612,0.372632833,0.000105123,0.000341949,0.280253614,0.000527084,0.988795,0.010677932,0.659402056,0.42085462,7.06E-05,1.50E-05,0.999913376,0.420719905,0.028433966,0.102849107,0.515203864,0.381388882,0.499313347,0.000475551,0.000508141
1/5/2020 0:00,524.2169549,0.004401298,0.003288906,0.024861505,0.460071788,0.485556573,8.92E-05,6.76E-05,0.00015458,0.001419513,0.201657685,0.071277923,0.641029022,0.424468743,8.69E-05,9.28E-05,0.005903639,0.001524419,0.77917198,0.036995307,0.579599688,0.387492252,9.31E-05,6.81E-05,0.992104309,0.000868988,0.9833782,0.015201658,0.699975906,0.331923482,7.11E-05,1.69E-05,0.999905852,0.000436233,0.9961759,0.003492522,0.455508961,0.422951864,7.08E-05,1.11E-05,0.999918471
1/6/2020 0:00,585.0344164,0.000496519,0.99359864,0.005972249,0.551786428,0.4708512,7.94E-05,1.19E-05,0.999910099,0.000977556,0.9723361,0.020813292,0.645878077,0.424363726,8.66E-05,2.01E-05,0.999873371,0.001459729,0.75531788,0.068176778,0.543162635,0.380068145,7.96E-05,0.000138284,0.993460268,0.001103218,0.541395942,0.011421643,0.468482091,0.361368089,9.33E-05,3.64E-05,0.50189042,0.003420683,0.170542645,0.45536564,0.491459786,0.358770479,0.000651089,0.413477389,0.015474182
1/7/2020 0:00,585.5887177,0.000667155,0.01719892,0.1079887,0.75036589,0.529388441,7.60E-05,0.000358347,0.000383868,0.000797241,0.979236365,0.015558355,0.622273186,0.420726798,8.67E-05,1.67E-05,0.999890576,0.002095737,0.39648262,0.04097561,0.611668238,0.372622383,8.74E-05,9.68E-05,0.098547814,0.000783853,0.988771615,0.01032617,0.53559067,0.377462801,7.49E-05,1.49E-05,0.999910169,0.003227133,0.572579385,0.23319595,0.431739075,0.338131023,0.000126497,0.009954365,0.52145878
