Date,Order,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology,neg_semiconductor,pos_semiconductor,neu_semiconductor,Topic_probability_semiconductor,Topic-wise_Values_semiconductor,tsf_lr_neg_semiconductor,tsf_lr_neu_semiconductor,tsf_lr_pos_semiconductor,neg_energy,pos_energy,neu_energy,Topic_probability_energy,Topic-wise_Values_energy,tsf_lr_neg_energy,tsf_lr_neu_energy,tsf_lr_pos_energy,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market
1/3/2019 0:00,659.52,0.015423662,0.18021757,0.260288535,0.536252198,0.292238074,8.35E-05,0.001515147,0.003255327,0.008844335,0.77148018,0.160132245,0.551945531,0.240919073,4.98E-05,4.43E-05,0.999501935,0.005733575,0.82186985,0.12914895,0.724590249,0.307593147,2.13E-05,8.33E-06,0.999905869,0.008628599,0.22718257,0.15112634,0.522454871,0.273108761,4.65E-05,9.43E-05,0.000399513
1/4/2019 0:00,621.71,0.007201723,0.8620019,0.12318875,0.575754511,0.331607442,4.20E-05,1.09E-05,0.999929472,0.021777529,0.141959105,0.366848115,0.63529817,0.241662836,7.83E-05,0.070117838,0.000617382,0.23141362,0.068303026,0.124791056,0.579439013,0.285005141,0.001177514,7.64E-06,0.00067785,0.008628599,0.22718257,0.15112634,0.522454871,0.273108761,4.65E-05,9.43E-05,0.000399513
1/5/2019 0:00,601.41,0.016848395,0.28616527,0.12535545,0.826691729,0.356165021,3.99E-05,9.81E-06,0.003478901,0.015798957,0.223588025,0.20752534,0.593896498,0.183541968,0.000149384,0.000190081,0.002976908,0.019203592,0.492006965,0.41355684,0.479484269,0.287698403,5.20E-05,0.498840681,0.500371004,0.010529421,0.482636795,0.506833745,0.729627944,0.222477484,0.000171627,0.50026957,0.499558803
1/6/2019 0:00,546.43,0.012788187,0.7281834,0.20511441,0.682195683,0.284968744,9.06E-05,0.00013779,0.998885866,0.009051167,0.7269783,0.13241364,0.609950543,0.261684576,2.82E-05,2.43E-05,0.998716658,0.097805766,0.219451,0.684562935,0.459112844,0.191065806,0.000390433,0.992454141,0.00710134,0.005341888,0.90155923,0.091684938,0.562614063,0.324067471,2.65E-05,3.26E-06,0.999970263
1/7/2019 0:00,600.14,0.009865554,0.79558215,0.147712755,0.667297457,0.324632886,8.24E-05,1.88E-05,0.999729129,0.006193941,0.61157143,0.11366356,0.608952006,0.304101782,1.90E-05,1.03E-05,0.974053393,0.004159885,0.9363519,0.0586757,0.620618464,0.328721613,1.12E-05,6.36E-07,0.999984106,0.14437265,0.16644322,0.490755365,0.59288894,0.208261318,0.000193624,0.535726697,0.008993433
1/8/2019 0:00,542.32,0.010570546,0.491405185,0.221305205,0.696658293,0.314557902,8.39E-05,0.000274575,0.492931005,0.009183233,0.513611395,0.135877795,0.65341112,0.262096531,5.70E-05,1.82E-05,0.593625971,0.010776485,0.603827565,0.366475985,0.577620339,0.233312668,9.90E-05,0.015052578,0.967540729,0.01555883,0.7599358,0.22450534,0.771514722,0.214742308,0.000149326,0.000195201,0.999655473
1/9/2019 0:00,597.72,0.009459085,0.23809884,0.16667297,0.654361856,0.330740491,4.78E-05,3.61E-05,0.004307256,0.011293963,0.20150793,0.18611245,0.59310446,0.287014351,4.42E-05,0.000120289,0.006058355,0.08916033,0.073210135,0.41948074,0.531603046,0.237093858,4.84E-05,0.129531464,0.003634921,0.075103563,0.418781202,0.17180467,0.510291598,0.265193617,9.47E-05,8.87E-05,0.50015759
1/10/2019 0:00,664.13,0.027048191,0.10016373,0.1422507,0.69854005,0.328372761,0.000376641,2.70E-05,0.000182661,0.010376076,0.13249396,0.29553798,0.654828986,0.279828506,3.40E-05,0.001859966,0.000180919,0.008833738,0.0871643,0.8699804,0.552630157,0.323030925,8.42E-06,0.999986091,5.49E-06,0.007187102,0.8937966,0.09498065,0.626662744,0.336045092,2.98E-05,4.09E-06,0.999966087
1/11/2019 0:00,550.54,0.005244062,0.182611445,0.209537735,0.635926397,0.348093492,2.02E-05,0.000349451,0.000391599,0.00936737,0.32673961,0.34861128,0.542380173,0.239333074,6.10E-05,0.050913957,0.031889888,0.004170212,0.28239584,0.31412452,0.395970028,0.208592567,6.49E-05,0.012507226,0.001166498,0.027241454,0.1058074,0.33402815,0.612209456,0.323085604,1.73E-05,0.019655119,0.001857441
1/12/2019 0:00,534.73,0.007341951,0.6918423,0.22643308,0.601241258,0.323345918,3.89E-05,0.000203233,0.99740554,0.011761914,0.151062825,0.569625975,0.628125603,0.265245695,4.73E-05,0.89882394,0.000185887,0.004134192,0.20819359,0.6454032,0.54828109,0.261310865,3.14E-05,0.990877569,0.000187886,0.70646554,0.018802654,0.26616025,0.385960167,0.25037082,0.995903844,0.002836918,0.000128401
1/1/2020 0:00,581.93,0.0087979,0.19435023,0.359007005,0.655169332,0.33696494,4.79E-05,0.022681364,0.00151467,0.008827507,0.62517184,0.18542595,0.688000807,0.242975846,7.99E-05,6.68E-05,0.982477841,0.008377757,0.8707652,0.12085718,0.55498955,0.283466724,1.68E-05,6.17E-06,0.999947359,0.011098037,0.2532793,0.17494261,0.532712707,0.273828013,6.56E-05,0.000157649,0.001376868
